,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
0,69.655681,30.203183,Борисоглебск,СЗФО,АПП,270316,2017,Число людей,Мурманский,установлен,да,Королевство Норвегия,109500,2.47
1,60.931202,28.560617,Брусничное,СЗФО,АПП,2676976,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,2190000,1.22
2,42.768431,44.631185,Верхний Ларс,СКФО,АПП,2597753,2017,Число людей,Северо-Кавказский,установлен,да,Республика Грузия,1436640,1.81
3,59.376896,28.211033,Ивангород,СЗФО,АПП,3765083,2017,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика,2555000,1.47
4,55.278507,20.963083,Морское,СЗФО,АПП,229455,2017,Число людей,Калининградский,установлен,да,Литовская Республика,73000,3.14
5,51.216321,49.880509,Озинки,ПФО,АПП,1394660,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан,1051200,1.33
6,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,549064,2017,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика,317550,1.73
7,60.596099,27.913096,Торфяновка,СЗФО,АПП,2469696,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,1916250,1.29
8,69.655681,30.203183,Борисоглебск,СЗФО,АПП,257666,2018,Число людей,Мурманский,установлен,да,Королевство Норвегия,109500,2.35
9,60.931202,28.560617,Брусничное,СЗФО,АПП,2719574,2018,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,2190000,1.24
10,42.768431,44.631185,Верхний Ларс,СКФО,АПП,2782820,2018,Число людей,Северо-Кавказский,установлен,да,Республика Грузия,1436640,1.94
11,59.376896,28.211033,Ивангород,СЗФО,АПП,3655929,2018,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика,2555000,1.43
12,55.278507,20.963083,Морское,СЗФО,АПП,244578,2018,Число людей,Калининградский,установлен,да,Литовская Республика,73000,3.35
13,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,480620,2018,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика,317550,1.51
14,60.596099,27.913096,Торфяновка,СЗФО,АПП,2403572,2018,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,1916250,1.25
15,43.397314,40.002072,Адлер,ЮФО,АПП,10826224,2019,Число людей,Сочинский,установлен,да,Республика Абхазия,10220000,1.06
16,69.655681,30.203183,Борисоглебск,СЗФО,АПП,267895,2019,Число людей,Мурманский,установлен,да,Королевство Норвегия,109500,2.45
17,60.931202,28.560617,Брусничное,СЗФО,АПП,3062042,2019,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,2190000,1.4
18,42.768431,44.631185,Верхний Ларс,СКФО,АПП,3098034,2019,Число людей,Северо-Кавказский,установлен,да,Республика Грузия,1436640,2.16
19,49.632878,117.373814,Забайкальск,ДФО,АПП,1839366,2019,Число людей,Читинский,установлен,да,Китайская Народная Республика,1825000,1.01
20,59.376896,28.211033,Ивангород,СЗФО,АПП,3621503,2019,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика,2555000,1.42
21,55.278507,20.963083,Морское,СЗФО,АПП,282790,2019,Число людей,Калининградский,установлен,да,Литовская Республика,73000,3.87
